datetime,text
2020-10-05 03:20:01,Bürgerkriegsland - Fast neun Monate nach Libyen-Gipfel: Vertreter ziehen Bilanz
2020-10-05 12:35:02,Leserdiskussion: Große Menschenfamilie: Hilft die Vision des Papstes in der Krise?
2020-10-05 14:00:02,Verletzung am Oberschenkel: Schlotterbeck fehlt Union Berlin in den kommenden Wochen
2020-10-05 08:05:02,Wegen Ulreich-Transfer - Flüchtet Heuer Fernandes im Winter vom HSV?
2020-10-05 18:45:02,Bayern München: Wer kann Lewandowski ersetzen?
2020-10-05 12:45:01,Corona-News: WHO: Jeder zehnte Mensch könnte bereits Corona haben
2020-10-05 20:10:04,1. FC Nürnberg gegen SV Darmstadt 98 live - Aktueller Spielstand 2:2
2020-10-05 20:25:02,WWF-Projekte in Verruf: Amerika reagiert auf Gewalt in Naturschutzgebieten
2020-10-05 21:15:01,Von Rama X. verstoßen - Der Sohn des Thai-Königs ist unheilbar krank
2020-10-05 09:15:01,"""Corona-Bremse"" greift auch in Essen: Wochenwert auf 38, 3"
2020-10-05 03:45:01,Migration: Zahl der Geflüchteten in Deutschland erstmals seit 2011 gesunken
2020-10-05 10:10:03,Stichwort: Hepatitis von A bis E
2020-10-05 04:05:01,Auto überschlägt sich auf Kreuzung: Vier Verletzte
2020-10-05 10:15:02,"Bamberger Uni-Präsident: ""Austausch, Vielfalt. Das fehlt."""
2020-10-05 18:35:01,Opernpremiere: Menschheitskatastrophe
2020-10-05 13:20:01,Nations League: Positive Corona-Tests beim Deutschland-Gegner Ukraine
2020-10-05 10:10:03,Medizinnobelpreis geht an US-Forscher Alter und Rice und den Briten Houghton
2020-10-05 15:20:03,US-Politik im News-Ticker - Nach Trumps Auto-Ausflug ist der Secret Service sauer auf den Präsidenten
2020-10-05 04:05:02,Gutachten zu Atommüll: Uran-Exporte nach Russland illegal
2020-10-05 19:15:03,"Trump kündigt seine Entlassung aus Klinik an: ""Habt keine Angst vor COVID"""
2020-10-05 05:45:01,Frischer Fang! - Dieser Hummer ist der Hammer
2020-10-05 10:35:01,23-Jähriger getötet: Tatverdächtiger ermittelt
2020-10-05 12:40:02,Alle Daten auf einen Blick - Die US-Wahl in Zahlen
2020-10-05 07:05:02,"Dax, K+S, Siemens Healthineers und Asiens Börsen - Was die Märkte heute bewegt"
2020-10-05 19:55:02,Verkehr in Ebersberg: Strampeln bevorzugt
2020-10-05 11:15:01,Checks and Balances: Donald Trumps Angriffe auf die Demokratie
2020-10-05 11:35:02,Münchner Transfer: So plant Flick den Neustart beim FC Bayern
2020-10-05 11:35:02,Transfer-Ticker - Hoffenheim zahlt Rudy kein Gehalt
2020-10-05 07:00:01,BILD-Check - So groß sind die Unterschiede beim Immo-Kredit
2020-10-05 19:55:02,Ebersberg: Kreis-FDP gegen Fahrradstraße
2020-10-05 14:10:02,Nationalmannschaft - Löws gefühlte Turnierwoche: Dreiakter in der Corona-Blase
2020-10-05 14:50:02,Transfer-Ticker - Bayern verkündet Transfer-Doppelschlag!
